Experiment,AUC,Sensitivity,Specificity,PPV,NPV,Accuracy
original,0.8703577898550725,0.8695652173913043,0.8125,0.8333333333333334,0.8524590163934426,84.21%
original (reduced),0.8227251838235294,0.7205882352941176,0.859375,0.8448275862068966,0.7432432432432432,78.79%
2s,0.8334465579710145,0.8115942028985508,0.765625,0.7887323943661971,0.7903225806451613,78.95%
1s,0.8162364130434783,0.8840579710144928,0.671875,0.7439024390243902,0.8431372549019608,78.2%
500ms,0.8212182971014494,0.8260869565217391,0.75,0.7808219178082192,0.8,78.95%
333ms,0.8228034420289855,0.7536231884057971,0.8125,0.8125,0.7536231884057971,78.2%
150ms,0.8191636029411765,0.7794117647058824,0.765625,0.7794117647058824,0.765625,77.27%
1s (10 FIs),0.6995634191176471,0.6323529411764706,0.71875,0.7049180327868853,0.647887323943662,67.42%
150ms (60 FIs),0.6939338235294117,0.8382352941176471,0.5,0.6404494382022472,0.7441860465116279,67.42%
